budget,company,country,genre,gross,rating,runtime,score,votes,year
8000000,Columbia Pictures Industries,USA,Adventure,52287414,R,89,8.1,299174,1986
18500000,Walt Disney Pictures,USA,Action,85160248,R,137,8.4,540152,1986
9000000,Walt Disney Pictures,USA,Adventure,18564613,PG,90,6.9,36636,1986
6000000,Walt Disney Pictures,USA,Comedy,8200000,PG-13,100,6.8,12228,1986
25000000,Walt Disney Pictures,USA,Action,11100000,PG-13,99,7.3,101678,1986
35000000,Universal Pictures,USA,Action,16295774,PG,110,4.6,36020,1986
2000000,New Line Cinema,USA,Action,13167232,PG-13,82,6,25517,1986
0,TriStar Pictures,USA,Comedy,40697761,PG,98,6.6,47068,1986
0,TriStar Pictures,USA,Action,24159872,PG-13,117,5.3,11304,1986
25000000,Warner Bros.,USA,Action,49042224,R,87,5.7,54851,1986
24500000,Warner Bros.,UK,Adventure,17218023,PG,125,7.5,47497,1986
13800000,Touchstone Pictures,USA,Drama,52293982,R,119,7,62495,1986
0,Columbia Pictures Industries,USA,Action,115103979,PG,113,5.9,58370,1986
0,Universal Pictures,USA,Animation,47483002,G,80,6.9,41004,1986
18000000,TriStar Pictures,USA,Comedy,41382841,PG-13,103,6.3,28529,1986
0,Metro-Goldwyn-Mayer (MGM),USA,Action,38500726,R,107,6.5,9344,1986
14000000,Walt Disney Pictures,USA,Animation,38600000,G,74,7.2,36539,1986
5000000,TriStar Pictures,USA,Comedy,591366,R,88,6.8,16077,1986
0,Columbia Pictures Industries,USA,Drama,5839031,R,99,7.1,11415,1986
0,Universal Pictures,USA,Horror,14481606,R,93,5.3,10022,1986
15000000,Warner Bros.,USA,Adventure,1953732,R,98,5.3,5340,1986
0,Warner Bros.,USA,Drama,8988731,R,91,5.5,5419,1986
0,TriStar Pictures,USA,Comedy,38702310,R,113,6.2,12307,1986
0,Touchstone Pictures,USA,Comedy,71624879,R,93,6.9,22554,1986
12000000,Columbia Pictures Industries,USA,Action,15945534,PG-13,88,5.6,9040,1986
10000000,Touchstone Pictures,USA,Comedy,21458229,PG,104,6.2,5584,1986
14000000,Touchstone Pictures,USA,Comedy,62134225,R,103,6.1,13569,1986
0,Columbia Pictures Industries,USA,Crime,7634909,PG,105,5.6,3720,1986
0,TriStar Pictures,USA,Crime,12303904,R,106,5.7,5564,1986
15000000,Warner Bros.,USA,Comedy,12308521,PG-13,96,4.9,5049,1986
40000000,Universal Pictures,USA,Comedy,49851591,PG,116,5.9,8374,1986
13000000,Metro-Goldwyn-Mayer (MGM),USA,Comedy,8475466,R,100,5.6,4573,1986
0,Warner Bros.,USA,Comedy,10090429,PG-13,98,4.9,2549,1986
0,Columbia Pictures Industries,USA,Action,5099316,R,93,5.4,1016,1986
0,Universal Pictures,USA,Comedy,14205021,PG,106,5.7,2300,1986
14000000,Columbia Pictures Industries,USA,Biography,18034150,R,97,6.3,1288,1986
0,Metro-Goldwyn-Mayer (MGM),USA,Crime,502237,R,104,5.1,405,1986
0,New Line Cinema,USA,Action,1900000,R,100,5.7,542,1986
0,Warner Bros.,USA,Comedy,32222567,R,97,7.3,100376,1987
15000000,Warner Bros.,USA,Action,65207127,R,110,7.6,204328,1987
15000000,Walt Disney Pictures,USA,Crime,43848100,R,126,7.4,126195,1987
22000000,Warner Bros.,USA,Comedy,63766510,R,118,6.5,51642,1987
4500000,New Line Cinema,USA,Action,44793222,R,96,6.6,55414,1987
0,Touchstone Pictures,USA,Action,34368475,PG-13,102,6.9,30850,1987
23000000,Universal Pictures,USA,Adventure,20763013,PG-13,89,2.9,33419,1987
27000000,Warner Bros.,USA,Action,25893810,PG,120,6.8,45172,1987
15000000,Metro-Goldwyn-Mayer (MGM),USA,Comedy,80640528,PG,102,7.1,38600,1987
13000000,Touchstone Pictures,USA,Biography,123922370,R,121,7.3,106924,1987
6500000,Columbia Pictures Industries,USA,Biography,54215416,PG-13,108,6.8,22839,1987
0,Walt Disney Pictures,USA,Crime,12396383,R,98,6.4,15500,1987
0,Universal Pictures,USA,Comedy,32945797,PG,106,6.6,25330,1987
12000000,Columbia Pictures Industries,USA,Comedy,40050884,PG,107,6.6,34794,1987
18000000,TriStar Pictures,USA,Comedy,39321715,PG-13,95,5.9,17903,1987
0,Warner Bros.,USA,Comedy,28061343,PG,88,4.8,33955,1987
0,Universal Pictures,USA,Comedy,548696,R,85,6.2,8755,1987
6000000,Universal Pictures,USA,Comedy,3685862,PG-13,97,7.2,8970,1987
17000000,Columbia Pictures Industries,USA,Crime,10278549,R,106,6.1,7854,1987
29000000,Universal Pictures,UK,Biography,5899797,PG,157,7.5,10692,1987
0,Touchstone Pictures,USA,Action,65673233,R,117,6.6,20039,1987
0,Walt Disney Pictures,USA,Comedy,30063289,PG-13,88,4.9,11444,1987
55000000,Columbia Pictures Industries,USA,Action,14375181,PG-13,107,4.2,9094,1987
0,TriStar Pictures,USA,Crime,18782400,R,121,6.6,7506,1987
0,TriStar Pictures,USA,Action,19734940,R,109,6.2,7311,1987
0,Columbia Pictures Industries,UK,Comedy,10021120,PG-13,113,7.4,10291,1987
0,Touchstone Pictures,USA,Comedy,52864741,R,99,6.1,6123,1987
24000000,Columbia Pictures Industries,USA,Action,4916871,PG,85,2.2,7387,1987
0,Metro-Goldwyn-Mayer (MGM),USA,Action,12046526,R,104,5.3,2652,1987
0,Columbia Pictures Industries,USA,Adventure,300859,PG,90,6.2,4353,1987
5300000,Columbia Pictures Industries,UK,Crime,3107551,R,107,6.3,2171,1987
25000000,Warner Bros.,USA,Drama,30950002,R,116,6.7,4996,1987
19000000,TriStar Pictures,USA,Action,2228951,PG-13,101,4.6,770,1987
12000000,TriStar Pictures,USA,Comedy,5669831,PG,83,5.5,3267,1987
0,Metro-Goldwyn-Mayer (MGM),USA,Drama,2413427,R,100,6.3,2694,1987
0,Touchstone Pictures,USA,Comedy,20419446,PG,96,5.1,2493,1987
0,Metro-Goldwyn-Mayer (MGM),USA,Comedy,460608,PG,86,4.6,1174,1987
0,Warner Bros.,USA,Comedy,10348437,PG,86,4.8,1708,1987
0,Columbia Pictures Industries,USA,Comedy,1083282,PG,116,7.3,1596,1987
0,New Line Cinema,USA,Comedy,3922273,PG-13,90,4.6,945,1987
28000000,Walt Disney Pictures,USA,Action,83008852,R,131,8.2,647000,1988
35000000,Metro-Goldwyn-Mayer (MGM),USA,Action,57269863,PG,126,7.3,86056,1988
70000000,Touchstone Pictures,USA,Animation,156452370,PG,104,7.7,153513,1988
20000000,Touchstone Pictures,USA,Comedy,78222753,R,104,5.8,65825,1988
19000000,TriStar Pictures,USA,Horror,8247943,R,95,6.4,24931,1988
7500000,Metro-Goldwyn-Mayer (MGM),UK,Comedy,63493712,R,108,7.6,114144,1988
30000000,Universal Pictures,USA,Action,38413606,R,126,7.6,58318,1988
28000000,Walt Disney Pictures,USA,Comedy,64000000,R,113,6.7,44277,1988
